z,n,betaMinus(keV)
81,101,-6502.6567
59,102,9741
60,102,7030
61,102,7640
62,102,5306.8315
63,102,5796.6788
64,102,3437.8515
65,102,4028.3686
66,102,1500.8333
67,102,2125.1534
68,102,-312.1997
69,102,96.5468
70,102,-2519.3805
71,102,-1469.2244
72,102,-4103.8117
73,102,-2775.8524
74,102,-5578.7182
75,102,-4312.7271
76,102,-7289.9295
77,102,-5813.592
78,102,-8804.229
79,102,-7210.0126
80,102,-10249.6721
81,102,-9007.2534
82,102,-12306
60,103,8880
61,103,9565
62,103,7219
63,103,7622
64,103,5107.3505
65,103,5777.2167
66,103,3200
67,103,3870
68,103,1492.449
69,103,1881.9024
70,103,-670.2201
71,103,274.2911
72,103,-2073.1103
73,103,-723.7709
74,103,-3432.5558
75,103,-2109.2143
76,103,-4938.4182
77,103,-3547.6546
78,103,-6510.3575
79,103,-4727.0905
80,103,-7217.3941
81,103,-5831.7688
82,103,-9305
83,103,-7247.0279
61,104,8840
62,104,6299
63,104,7006
64,104,4631
65,104,5116
66,104,2528
67,104,3200
68,104,890.9756
69,104,1295.1669
70,104,-1374.2287
71,104,-683.9154
72,104,-3211.0484
73,104,-2013.0144
74,104,-4753.6082
75,104,-3564.1747
76,104,-6378.6679
77,104,-5081.5379
78,104,-7864.4447
79,104,-6386.8322
80,104,-9461.4321
81,104,-8216.5333
82,104,-11535.3999
83,104,-9207.0832
62,105,8440
63,105,8899
64,105,6590
65,105,7000
66,105,4508
67,105,4999
68,105,2602
69,105,3080
70,105,470.1219
71,105,1194.0947
72,105,-1166
73,105,-191
74,105,-2710.9347
75,105,-1481.1659
76,105,-4086.9327
77,105,-2883.262
78,105,-5581.7092
79,105,-3973.9269
80,105,-6425.9062
81,105,-5202.0427
82,105,-8603.6798
83,105,-6650.4226
62,106,7610
63,106,8230
64,106,5860
65,106,6240
66,106,3724
67,106,4304
68,106,1915
69,106,2385
70,106,-108.9895
71,106,496.8425
72,106,-1837
73,106,-1062.2093
74,106,-3798.8793
75,106,-2967.4438
76,106,-5557.4266
77,106,-4428.9417
78,106,-7013.7724
79,106,-5674.4989
80,106,-8656.119
81,106,-7457.637
82,106,-10616.2241
83,106,-8642.6682
63,107,9989
64,107,7560
65,107,8070
66,107,5610
67,107,6080
68,107,3659
69,107,4120
70,107,1397.4983
71,107,2097.4851
72,107,-105.5801
73,107,702.6122
74,107,-1716.5331
75,107,-837.0348
76,107,-3461.6215
77,107,-2278.3688
78,107,-4829.9942
79,107,-3175.7972
80,107,-5673.917
81,107,-4525.3784
82,107,-7779.3555
83,107,-6033.1975
84,107,-8932.644
64,108,6720
65,108,7230
66,108,4739
67,108,5352
68,108,2741
69,108,3417
70,108,660.7415
71,108,1404.0231
72,108,-845.8453
73,108,-205.1193
74,108,-2800
75,108,-2145.9028
76,108,-4641.7101
77,108,-3647.4137
78,108,-6149.5913
79,108,-4910.2713
80,108,-7861.9485
81,108,-6772.0862
82,108,-9820.7014
83,108,-8170.6205
84,108,-10992.2252
85,108,-9110.2435
65,109,9160
66,109,6570
67,109,7241
68,109,4711
69,109,5437
70,109,2419
71,109,3103
72,109,1036.1061
73,109,1815.4592
74,109,-556
75,109,32.746
76,109,-2470.3505
77,109,-1307.903
78,109,-3656.5811
79,109,-2172.9634
80,109,-5010.2727
81,109,-3949.6288
82,109,-7051.8922
83,109,-5468.0534
84,109,-8257.9789
85,109,-6441.1134
66,110,5780
67,110,6578
68,110,3980
69,110,4739
70,110,1956
71,110,2605.5435
72,110,381.0486
73,110,1072.1161
74,110,-1485.6333
75,110,-1013.1393
76,110,-3827.6813
77,110,-2864.0151
78,110,-5449.6549
79,110,-3955.58
80,110,-7004.3892
81,110,-5991.7073
82,110,-9017.3089
83,110,-7559.2614
84,110,-10288.1273
85,110,-8520.5842
67,111,8130
68,111,5821
69,111,6550
70,111,3709
71,111,4280
72,111,2010
73,111,2866
74,111,431.1764
75,111,1072.7114
76,111,-1669.6385
77,111,-523.986
78,111,-2887.4471
79,111,-1462.915
80,111,-4308.8981
81,111,-3320.4029
82,111,-6344.6913
83,111,-5018.4029
84,111,-7646.3554
85,111,-5888.3439
86,111,-8743.5996
68,112,4990
69,112,5649
70,112,2870
71,112,3567.4325
72,112,1340
73,112,1993.5
74,112,-581.2819
75,112,2.4667
76,112,-2792.3457
77,112,-1980.247
78,112,-4472.9637
79,112,-3206.0616
80,112,-6139.2324
81,112,-5247.9637
82,112,-8184.8462
83,112,-6908.9121
84,112,-9555.5564
85,112,-7865.6231
86,112,-10808.0177
69,113,7410
70,113,4716
71,113,5199
72,113,3074.5667
73,113,3901
74,113,1312.5048
75,113,2120.4209
76,113,-537.1494
77,113,552.8893
78,113,-1900.4257
79,113,-760.7028
80,113,-3584.9466
81,113,-2729.6315
82,113,-5712.4729
83,113,-4540.3012
84,113,-7037.8235
85,113,-5478.4271
86,113,-8331.2349
70,114,3700
71,114,4359
72,114,2183.3883
73,114,3008.4937
74,114,349
75,114,1007.7049
76,114,-1954.2108
77,114,-1010.4903
78,114,-3516.3415
79,114,-2342.6641
80,114,-5246.4542
81,114,-4417.2524
82,114,-7339.202
83,114,-6294.1172
84,114,-8764.5316
85,114,-7263.5308
86,114,-10134.0327
87,114,-8348.2439
70,115,5480
71,115,6104
72,115,3896
73,115,4758
74,115,2170
75,115,3124.8105
76,115,313.5873
77,115,1452.8946
78,115,-1074.8477
79,115,-27.9978
80,115,-2858.0499
81,115,-2148.3639
82,115,-5058.1894
83,115,-3900.5727
84,115,-6415.4515
85,115,-4987.4394
86,115,-7695.9856
87,115,-5973.362
71,116,5230
72,116,3080
73,116,3850
74,116,1214.1824
75,116,2044.8311
76,116,-1046.6722
77,116,-56.6276
78,116,-2548.1518
79,116,-1553.719
80,116,-4329.3455
81,116,-3608.8367
82,116,-6693.5916
83,116,-5558.7875
84,116,-7953.7897
85,116,-6682.0288
86,116,-9376.0984
87,116,-7724.9182
71,117,7009
72,117,4809
73,117,5649
74,117,3174.2318
75,117,4293.475
76,117,1141.9038
77,117,2228.3252
78,117,-226.8175
79,117,687.2263
80,117,-2186.0092
81,117,-1461.3103
82,117,-4434.1181
83,117,-3428.8901
84,117,-5731.7247
85,117,-4320.5458
86,117,-7060.4572
87,117,-5453.7889
88,117,-8302.8357
72,118,3920
73,118,4657
74,118,1969
75,118,3162.7597
76,118,96.6
77,118,1101.5601
78,118,-1505.8204
79,118,-599.5206
80,118,-3425.5625
81,118,-2827.6624
82,118,-5880.2841
83,118,-4907.8397
84,118,-7346.4628
85,118,-5978.5623
86,118,-8577.4239
87,118,-7113.6693
88,118,-9919.1406
73,119,6520
74,119,4042
75,119,5175
76,119,2180.722
77,119,3209.0164
78,119,719.9769
79,119,1373.5226
80,119,-1486.6695
81,119,-796.3695
82,119,-3842.0269
83,119,-2809.285
84,119,-5148.2116
85,119,-3905.136
86,119,-6399.9479
87,119,-4812.4721
88,119,-7632.2404
89,119,-5927.1868
73,120,5380
74,120,2850
75,120,3951
76,120,1158.3989
77,120,2155.6519
78,120,-323.2251
79,120,452.3142
80,120,-2456.0403
81,120,-1909.7458
82,120,-5189.7539
83,120,-4214.0744
84,120,-6465.7939
85,120,-5274.7547
86,120,-7886.0592
87,120,-6363.0084
88,120,-9032.9208
89,120,-7550
73,121,7280
74,121,4820
75,121,5918
76,121,3185
77,121,4194
78,121,1705.0525
79,121,2263.1737
80,121,-481.7508
81,121,-39.811
82,121,-3261.5896
83,121,-2304.8814
84,121,-4536.8793
85,121,-3306.4697
86,121,-5785.7211
87,121,-4392.8615
88,121,-6986.6464
89,121,-5295.442
90,121,-8175.8296
74,122,3620
75,122,4729
76,122,2110
77,122,2990.1656
78,122,640.9158
79,122,1261.8237
80,122,-1364.8906
81,122,-974.8265
82,122,-4463.8883
83,122,-3544.171
84,122,-5749.2803
85,122,-4592.74
86,122,-6990.4614
87,122,-5640.3845
88,122,-8321.2403
89,122,-6732.9111
90,122,-9485.6366
74,123,5480
75,123,6610
76,123,4128
77,123,5030
78,123,2660
79,123,2992.3278
80,123,492.1062
81,123,763.7453
82,123,-2704.5927
83,123,-1839.5323
84,123,-3918.2186
85,123,-2814.5118
86,123,-5158.9051
87,123,-3786.3467
88,123,-6311.6152
89,123,-4811.2864
90,123,-7534.0866
75,124,5541
76,124,3020
77,124,3901
78,124,1660.854
79,124,2125.7592
80,124,-344.0781
81,124,-50.6402
82,124,-3757.3057
83,124,-2908.8541
84,124,-4999.3061
85,124,-3942.7237
86,124,-6261.2558
87,124,-4972.1844
88,124,-7498.3626
89,124,-5979.0781
90,124,-8764.963
91,124,-7084.7747
76,125,5000
77,125,6052
78,125,3633
79,125,4300
80,125,1533.0836
81,125,1532.2128
82,125,-2397.414
83,125,-1400.9438
84,125,-3482.2417
85,125,-2367.3352
86,125,-4615.0152
87,125,-3317.2355
88,125,-5795.4721
89,125,-4261.6599
90,125,-6883.1037
91,125,-5242.6308
76,126,4110
77,126,5140
78,126,2770
79,126,3717
80,126,1307.5659
81,126,1417.5323
82,126,-2878.368
83,126,-1892.5741
84,126,-3980.9605
85,126,-2891.8615
86,126,-5143.221
87,126,-3899.7568
88,126,-6340.5313
89,126,-4890.8833
90,126,-7525.2616
91,126,-5916
76,127,7100
77,127,8050
78,127,5750
79,127,6755
80,127,4546.9906
81,127,4998.3984
82,127,644.0152
83,127,1161.1549
84,127,-785.3012
85,127,31.0705
86,127,-2141.7493
87,127,-1051.0675
88,127,-3498.5554
89,127,-2148.8006
90,127,-4848.968
91,127,-3245.0869
92,127,-6140.9976
77,128,7220
78,128,4950
79,128,5847
80,128,3484.7131
81,128,3969.7809
82,128,63.4758
83,128,573.3763
84,128,-1741.2596
85,128,-883.5727
86,128,-3361.3369
87,128,-2213.8573
88,128,-4858.2701
89,128,-3503.459
90,128,-6282.8212
91,128,-4712.7298
92,128,-7462
93,128,-6019
78,129,6501
79,129,7355
80,129,5035
81,129,5481.4334
82,129,1366.1041
83,129,2251.4656
84,129,-73.9972
85,129,940.5125
86,129,-1487.1274
87,129,-320.4441
88,129,-2812.7853
89,129,-1515.9019
90,129,-4120.4434
91,129,-2735
92,129,-5390
93,129,-3785
94,129,-6579
78,130,5410
79,130,6380
80,130,3947
81,130,4415.0129
82,130,569.0133
83,130,1421.8481
84,130,-1090.8208
85,130,-87.5935
86,130,-2717.7096
87,130,-1574.8729
88,130,-4205.2887
89,130,-2893.2268
90,130,-5588.8595
91,130,-4145.059
92,130,-7001.8072
93,130,-5462
94,130,-7980
79,131,7980
80,131,5688
81,131,5998
82,131,2028.073
83,131,3269.1925
84,131,714.8128
85,131,2003.3657
86,131,-656.0967
87,131,413.8838
88,131,-2175.7005
89,131,-945.7825
90,131,-3435.0112
91,131,-2208.4729
92,131,-4613.3046
93,131,-3248
94,131,-6090
80,132,4571
81,132,4987.4088
82,132,1017.7611
83,132,2171.0426
84,132,-474.3423
85,132,736.032
86,132,-1842.0267
87,132,-776.9137
88,132,-3471.664
89,132,-2408.8773
90,132,-4861.322
91,132,-3707.6637
92,132,-6289.5572
93,132,-4682
94,132,-7340
80,133,6416
81,133,6648
82,133,2712.9729
83,133,4091.652
84,133,1488.8543
85,133,2882.8048
86,133,212.3984
87,133,1210.2406
88,133,-1567.1715
89,133,-581.2415
90,133,-2952.2124
91,133,-1880.3393
92,133,-4246.0969
93,133,-2813
94,133,-5410
80,134,5306
81,134,5688
82,134,1636
83,134,2846.5103
84,134,256.4334
85,134,1566.6838
86,134,-870.3384
87,134,313.3741
88,134,-2301.5922
89,134,-1560.3471
90,134,-3866.7705
91,134,-3015.361
92,134,-5488.0792
93,134,-4191
94,134,-6742
80,135,7079
81,135,7361
82,135,3530
83,135,4859.3866
84,135,2285.3395
85,135,3763.755
86,135,1194.1032
87,135,2057.898
88,135,-591.8099
89,135,238.5672
90,135,-2046.4473
91,135,-1295.1978
92,135,-3533.9848
93,135,-2283
94,135,-4785.4899
80,136,6050
81,136,6399
82,136,2414
83,136,3638
84,136,887.7139
85,136,2311.375
86,136,-6.1461
87,136,1149.0844
88,136,-1408.3152
89,136,-672.8878
90,136,-2835.9504
91,136,-2214.6629
92,136,-4605
93,136,-3593.5462
94,136,-5940
95,136,-4860
81,137,8081
82,137,4300
83,137,5696
84,137,2991.0276
85,137,4581.0714
86,137,2007.4091
87,137,2922.7819
88,137,355.7386
89,137,1111.5517
90,137,-1025.6117
91,137,-296.402
92,137,-2590.7577
93,137,-1695.5543
94,137,-4101
95,137,-2913
96,137,-5478
82,138,3171
83,138,4426
84,138,1533.2393
85,138,3038.2698
86,138,696.484
87,138,1827.5584
88,138,-641.6252
89,138,44.7559
90,138,-2152.6993
91,138,-1313.7716
92,138,-3621.5986
93,138,-2684.8905
94,138,-5059
95,138,-4008
96,138,-6673
83,139,6464
84,139,3651
85,139,5265.9197
86,139,2713.5412
87,139,3852.9638
88,139,1327.9489
89,139,2123.7545
90,139,-311.331
91,139,558.5262
92,139,-1817.7347
93,139,-1001
94,139,-3233
95,139,-2261
96,139,-4757
83,140,5161
84,140,2199
85,140,3765
86,140,1226.6542
87,140,2504.9813
88,140,45.5402
89,140,1104.4191
90,140,-1311.0313
91,140,-381.6138
92,140,-2750
93,140,-2103.3047
94,140,-4112
95,140,-3389
96,140,-5689
97,140,-4728
83,141,7159
84,141,4280
85,141,5913
86,141,3203.3894
87,141,4444.027
88,141,1872.0266
89,141,2975.8745
90,141,391.4727
91,141,1337.1034
92,141,-1029.4197
93,141,-395.1807
94,141,-2442.2558
95,141,-1812
96,141,-3963
97,141,-3061
98,141,-5429
84,142,2889
85,142,4544
86,142,1859.2451
87,142,3106.2907
88,142,677.9196
89,142,1947.0425
90,142,-499.8388
91,142,570.2993
92,142,-1809.8462
93,142,-1139.3021
94,142,-3139
95,142,-2677
96,142,-4771
97,142,-3952
98,142,-6237
99,142,-5327
84,143,4850
85,143,6637
86,143,3694.1465
87,143,4970.4627
88,143,2453.6351
89,143,3707.7131
90,143,1242.232
91,143,2193.9105
92,143,-124.2619
93,143,476.5854
94,143,-1478
95,143,-1023.7818
96,143,-3103
97,143,-2324
98,143,-4567
99,143,-3598
85,144,5527
86,144,2683
87,144,3864.0868
88,144,1342.5322
89,144,2576.395
90,144,274.0882
91,144,1370.1184
92,144,-933.5116
93,144,-220.063
94,144,-2258.2731
95,144,-1756.6021
96,144,-3940
97,144,-3346
98,144,-5414
99,144,-4569
100,144,-6634
86,145,4469
87,145,5575.8791
88,145,3026.0244
89,145,4228.2364
90,145,1728.8531
91,145,2889.373
92,145,518.5338
93,145,1291.4491
94,145,-802.1402
95,145,-214.1127
96,145,-2279
97,145,-1635
98,145,-3757
99,145,-2938
100,145,-5133
87,146,4585.9906
88,146,2089.4348
89,146,3339.4064
90,146,921.2477
91,146,2137.4905
92,146,-146.8652
93,146,722.7849
94,146,-1384.7902
95,146,-767.4346
96,146,-2948
97,146,-2300
98,146,-4547
99,146,-3877
100,146,-5924
88,147,3773
89,147,4965.7951
90,147,2427.4736
91,147,3586.3111
92,147,1261.6634
93,147,2190.9095
94,147,20.7799
95,147,664.3145
96,147,-1507.6936
97,147,-764.2709
98,147,-2930
99,147,-2372.3848
100,147,-4263
101,147,-3741
89,148,4065
90,148,1631
91,148,2765
92,148,399.2685
93,148,1360
94,148,-751.1373
95,148,-6.9302
96,148,-2261.9902
97,148,-1571.3755
98,148,-3728.5741
99,148,-3094
100,148,-5050
101,148,-4606
90,149,3162
91,149,4295
92,149,1882
93,149,2700
94,149,579.5559
95,149,1427.3
96,149,-809.2519
97,149,-123.3159
98,149,-2469.0006
99,149,-1599
100,149,-3661.8091
101,149,-3167
102,149,-4981
91,150,3543
92,150,1203
93,150,2051
94,150,-73.1143
95,150,895.8929
96,150,-1350
97,150,-619.8711
98,150,-3061
99,150,-2344
100,150,-4326.9476
101,150,-3882
102,150,-5666
103,150,-5118
92,151,2674
93,151,3434
94,151,1277.7559
95,151,2377
96,151,43.5841
97,151,893.1015
98,151,-1452
99,151,-847
100,151,-3007.9406
101,151,-2404.2523
102,151,-4164.7752
103,151,-3555
104,151,-5265
93,152,2672
94,152,401
95,152,1620
96,152,-738.3049
97,152,123.6
98,152,-2055
99,152,-1447.261
100,152,-3650.5075
101,152,-3186
102,152,-4922.5753
103,152,-4382
104,152,-6076
94,153,2057
95,153,3170
96,153,904.363
97,153,1781.6696
98,153,-376.566
99,153,477.9998
100,153,-1827
101,153,-1271
102,153,-3135.3716
103,153,-2475.3893
104,153,-4287.8969
105,153,-3788
95,154,2353
96,154,37.582
97,154,1093
98,154,-1260
99,154,-335.0623
100,154,-2550
101,154,-1969.8648
102,154,-3923.5573
103,154,-3201
104,154,-5163.3651
105,154,-4528
106,154,-6576
96,155,1420
97,155,2500
98,155,291.0753
99,155,1091.63
100,155,-1041.6037
101,155,-367
102,155,-2418
103,155,-1562
104,155,-3624
105,155,-2875
106,155,-5074.4052
96,156,521
97,156,1627
98,156,-652.7561
99,156,288.7717
100,156,-1971
101,156,-1254.5923
102,156,-3304
103,156,-2516
104,156,-4525
105,156,-3697
106,156,-5883.0463
107,156,-5182
97,157,3052
98,157,720
99,157,1700
100,157,-402.3347
101,157,213
102,157,-1771
103,157,-871
104,157,-2990
105,157,-2116
106,157,-4301
107,157,-3605
108,157,-5724
98,158,-144
99,158,813
100,158,-1264
101,158,-515
102,158,-2667
103,158,-1761
104,158,-3861
105,158,-3085
106,158,-5175
107,158,-4505
108,158,-6533.0066
109,158,-6089
99,159,2276
100,159,140
101,159,940
102,159,-1102
103,159,-287
104,159,-2353
105,159,-1521
106,159,-3601
107,159,-3036
108,159,-5133
109,159,-4497
100,160,-784
101,160,123
102,160,-2004
103,160,-1087
104,160,-3187
105,160,-2412
106,160,-4487
107,160,-3893
108,160,-6183
109,160,-5535
101,161,1566
102,161,-540
103,161,300
104,161,-1692
105,161,-877
106,161,-2958
107,161,-2261
108,161,-4807
109,161,-3973
102,162,-1364
103,162,-457
104,162,-2604
105,162,-1792
106,162,-3907
107,162,-3016
108,162,-5597
109,162,-4853
110,162,-6690
103,163,1526
104,163,-570
105,163,260
106,163,-1785
107,163,-882
108,163,-3409
109,163,-2601
110,163,-4600
104,164,-1584
105,164,-544
106,164,-2799
107,164,-1832
108,164,-4477
109,164,-3503
110,164,-5415
105,165,966
106,165,-1242
107,165,-217
108,165,-3015
109,165,-1948
110,165,-3729
111,165,-2974
106,166,-2267
107,166,-1084
108,166,-3843
109,166,-2899
110,166,-4847
111,166,-3925
112,166,-6188
106,167,-763
107,167,356
108,167,-2275
109,167,-1227
110,167,-3315
111,167,-2321
112,167,-4439
107,168,-712
108,168,-3127
109,168,-2084
110,168,-4270
111,168,-3299
112,168,-5585
107,169,765
108,169,-1633
109,169,-484
110,169,-2697
111,169,-1768
112,169,-3863
107,170,-275
108,170,-2547
109,170,-1439
110,170,-3566
111,170,-2614
112,170,-4903
107,171,1150
108,171,-1085
109,171,190
110,171,-2060
111,171,-1084
112,171,-3226
113,171,-2188
108,172,-2090
109,172,-873
110,172,-2952
111,172,-1957
112,172,-4176
113,172,-3164
109,173,665
110,173,-1550
111,173,-445
112,173,-2682
113,173,-1649
114,173,-3819
110,174,-2510
111,174,-1357
112,174,-3507
113,174,-2474
114,174,-4749
115,174,-3774
111,175,61
112,175,-2085
113,175,-947
114,175,-3217
115,175,-2236
116,175,-4409
112,176,-3039
113,176,-1915
114,176,-4061
115,176,-3064
116,176,-5488
117,176,-4374
113,177,-416
114,177,-2680
115,177,-1533
116,177,-3860
117,177,-2923
